member_type,hour_of_day,ride_count
casual,23,27082
casual,22,38032
casual,21,43635
casual,20,52551
casual,19,73347
casual,18,102782
casual,17,125554
casual,16,117324
casual,15,102224
casual,14,92279
casual,13,88288
casual,12,86178
casual,11,73452
casual,10,57403
casual,9,47081
casual,8,49028
casual,7,34950
casual,6,18373
casual,5,7391
casual,4,3589
casual,3,4208
casual,2,7799
casual,1,13031
casual,0,20271
member,23,29416
member,22,48439
member,21,68689
member,20,90164
member,19,132961
member,18,194677
member,17,263581
member,16,230482
member,15,162443
member,14,129483
member,13,127402
member,12,128576
member,11,113777
member,10,98862
member,9,115580
member,8,180066
member,7,144867
member,6,72716
member,5,23560
member,4,5041
member,3,3912
member,2,5683
member,1,10559
member,0,17606