week_start,member_type,ride_count
2025-06-30 00:00:00.000000 UTC,casual,4763
2025-06-23 00:00:00.000000 UTC,casual,43348
2025-06-16 00:00:00.000000 UTC,casual,43254
2025-06-09 00:00:00.000000 UTC,casual,41255
2025-06-02 00:00:00.000000 UTC,casual,34250
2025-05-26 00:00:00.000000 UTC,casual,30189
2025-05-19 00:00:00.000000 UTC,casual,22695
2025-05-12 00:00:00.000000 UTC,casual,32353
2025-05-05 00:00:00.000000 UTC,casual,23307
2025-04-28 00:00:00.000000 UTC,casual,18857
2025-04-21 00:00:00.000000 UTC,casual,19736
2025-04-14 00:00:00.000000 UTC,casual,16560
2025-04-07 00:00:00.000000 UTC,casual,13559
2025-03-31 00:00:00.000000 UTC,casual,10936
2025-03-24 00:00:00.000000 UTC,casual,14883
2025-03-17 00:00:00.000000 UTC,casual,11282
2025-03-10 00:00:00.000000 UTC,casual,18377
2025-03-03 00:00:00.000000 UTC,casual,8212
2025-02-24 00:00:00.000000 UTC,casual,7659
2025-02-17 00:00:00.000000 UTC,casual,3437
2025-02-10 00:00:00.000000 UTC,casual,2846
2025-02-03 00:00:00.000000 UTC,casual,4464
2025-01-27 00:00:00.000000 UTC,casual,5369
2025-01-20 00:00:00.000000 UTC,casual,2562
2025-01-13 00:00:00.000000 UTC,casual,3851
2025-01-06 00:00:00.000000 UTC,casual,3028
2024-12-30 00:00:00.000000 UTC,casual,4476
2024-12-23 00:00:00.000000 UTC,casual,4437
2024-12-16 00:00:00.000000 UTC,casual,5560
2024-12-09 00:00:00.000000 UTC,casual,6270
2024-12-02 00:00:00.000000 UTC,casual,7598
2024-11-25 00:00:00.000000 UTC,casual,5864
2024-11-18 00:00:00.000000 UTC,casual,12135
2024-11-11 00:00:00.000000 UTC,casual,17899
2024-11-04 00:00:00.000000 UTC,casual,18439
2024-10-28 00:00:00.000000 UTC,casual,22830
2024-10-21 00:00:00.000000 UTC,casual,27548
2024-10-14 00:00:00.000000 UTC,casual,29115
2024-10-07 00:00:00.000000 UTC,casual,43053
2024-09-30 00:00:00.000000 UTC,casual,38381
2024-09-23 00:00:00.000000 UTC,casual,37289
2024-09-16 00:00:00.000000 UTC,casual,44894
2024-09-09 00:00:00.000000 UTC,casual,49861
2024-09-02 00:00:00.000000 UTC,casual,47046
2024-08-26 00:00:00.000000 UTC,casual,48033
2024-08-19 00:00:00.000000 UTC,casual,45520
2024-08-12 00:00:00.000000 UTC,casual,38323
2024-08-05 00:00:00.000000 UTC,casual,50359
2024-07-29 00:00:00.000000 UTC,casual,50158
2024-07-22 00:00:00.000000 UTC,casual,47305
2024-07-15 00:00:00.000000 UTC,casual,49959
2024-07-08 00:00:00.000000 UTC,casual,41581
2024-07-01 00:00:00.000000 UTC,casual,50823
2024-06-24 00:00:00.000000 UTC,casual,64
2025-06-30 00:00:00.000000 UTC,member,8974
2025-06-23 00:00:00.000000 UTC,member,60728
2025-06-16 00:00:00.000000 UTC,member,56488
2025-06-09 00:00:00.000000 UTC,member,59122
2025-06-02 00:00:00.000000 UTC,member,52741
2025-05-26 00:00:00.000000 UTC,member,47732
2025-05-19 00:00:00.000000 UTC,member,39860
2025-05-12 00:00:00.000000 UTC,member,55948
2025-05-05 00:00:00.000000 UTC,member,50140
2025-04-28 00:00:00.000000 UTC,member,44359
2025-04-21 00:00:00.000000 UTC,member,45530
2025-04-14 00:00:00.000000 UTC,member,40952
2025-04-07 00:00:00.000000 UTC,member,36282
2025-03-31 00:00:00.000000 UTC,member,32871
2025-03-24 00:00:00.000000 UTC,member,36371
2025-03-17 00:00:00.000000 UTC,member,31025
2025-03-10 00:00:00.000000 UTC,member,38736
2025-03-03 00:00:00.000000 UTC,member,27084
2025-02-24 00:00:00.000000 UTC,member,30632
2025-02-17 00:00:00.000000 UTC,member,15960
2025-02-10 00:00:00.000000 UTC,member,16512
2025-02-03 00:00:00.000000 UTC,member,23593
2025-01-27 00:00:00.000000 UTC,member,25575
2025-01-20 00:00:00.000000 UTC,member,13410
2025-01-13 00:00:00.000000 UTC,member,19231
2025-01-06 00:00:00.000000 UTC,member,18355
2024-12-30 00:00:00.000000 UTC,member,14812
2024-12-23 00:00:00.000000 UTC,member,12079
2024-12-16 00:00:00.000000 UTC,member,24130
2024-12-09 00:00:00.000000 UTC,member,26838
2024-12-02 00:00:00.000000 UTC,member,29560
2024-11-25 00:00:00.000000 UTC,member,20073
2024-11-18 00:00:00.000000 UTC,member,37809
2024-11-11 00:00:00.000000 UTC,member,48629
2024-11-04 00:00:00.000000 UTC,member,48517
2024-10-28 00:00:00.000000 UTC,member,56172
2024-10-21 00:00:00.000000 UTC,member,61093
2024-10-14 00:00:00.000000 UTC,member,54466
2024-10-07 00:00:00.000000 UTC,member,68186
2024-09-30 00:00:00.000000 UTC,member,69758
2024-09-23 00:00:00.000000 UTC,member,66989
2024-09-16 00:00:00.000000 UTC,member,74154
2024-09-09 00:00:00.000000 UTC,member,79224
2024-09-02 00:00:00.000000 UTC,member,70173
2024-08-26 00:00:00.000000 UTC,member,67301
2024-08-19 00:00:00.000000 UTC,member,69301
2024-08-12 00:00:00.000000 UTC,member,64123
2024-08-05 00:00:00.000000 UTC,member,70614
2024-07-29 00:00:00.000000 UTC,member,69405
2024-07-22 00:00:00.000000 UTC,member,70507
2024-07-15 00:00:00.000000 UTC,member,72194
2024-07-08 00:00:00.000000 UTC,member,64673
2024-07-01 00:00:00.000000 UTC,member,59515
2024-06-24 00:00:00.000000 UTC,member,36